accession	message	sample_name	sample_title	bioproject_number	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	isolation_source	sample_id_unique
SAMN13502273	Successfully loaded	01.tp.09	01.tp.09	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	01.tp.09
SAMN13502274	Successfully loaded	01.tp.42	01.tp.42	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	01.tp.42
SAMN13502275	Successfully loaded	02.tp.19	02.tp.19	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	Germany:Regensburg	Homo sapiens	49 N 12 E	stool	02.tp.19
SAMN13502276	Successfully loaded	02.tp.20	02.tp.20	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	Germany:Regensburg	Homo sapiens	49 N 12 E	stool	02.tp.20
SAMN13502277	Successfully loaded	05.aes.472	05.aes.472	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	05.aes.472
SAMN13502278	Successfully loaded	10.aes.139	10.aes.139	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	Japan:Hokkaido	Homo sapiens	43 N 142 E	stool	10.aes.139
SAMN13502279	Successfully loaded	1021C	1021C	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1021C
SAMN13502280	Successfully loaded	1029E	1029E	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1029E
SAMN13502281	Successfully loaded	1202S	1202S	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1202S
SAMN13502282	Successfully loaded	1234A	1234A	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1234A
SAMN13502283	Successfully loaded	1234B	1234B	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:New York	Homo sapiens	40.7641 N 73.9568 W	stool	1234B
SAMN13502284	Successfully loaded	13.aes.05	13.aes.05	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.05
SAMN13502285	Successfully loaded	13.aes.06	13.aes.06	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.06
SAMN13502286	Successfully loaded	13.aes.07	13.aes.07	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.07
SAMN13502287	Successfully loaded	13.aes.08	13.aes.08	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.08
SAMN13502288	Successfully loaded	13.aes.09	13.aes.09	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.09
SAMN13502289	Successfully loaded	13.aes.10	13.aes.10	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.10
SAMN13502290	Successfully loaded	13.aes.101	13.aes.101	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.101
SAMN13502291	Successfully loaded	13.aes.102	13.aes.102	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.102
SAMN13502292	Successfully loaded	13.aes.103	13.aes.103	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.103
SAMN13502293	Successfully loaded	13.aes.104	13.aes.104	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.104
SAMN13502294	Successfully loaded	13.aes.106	13.aes.106	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.106
SAMN13502295	Successfully loaded	13.aes.108	13.aes.108	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.108
SAMN13502296	Successfully loaded	13.aes.109	13.aes.109	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.109
SAMN13502297	Successfully loaded	13.aes.114	13.aes.114	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.114
SAMN13502298	Successfully loaded	13.aes.115	13.aes.115	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.115
SAMN13502299	Successfully loaded	13.aes.116	13.aes.116	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.116
SAMN13502300	Successfully loaded	13.aes.117	13.aes.117	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.117
SAMN13502301	Successfully loaded	13.aes.118	13.aes.118	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.118
SAMN13502302	Successfully loaded	13.aes.119	13.aes.119	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.119
SAMN13502303	Successfully loaded	13.aes.120	13.aes.120	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.120
SAMN13502304	Successfully loaded	13.aes.121	13.aes.121	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.121
SAMN13502305	Successfully loaded	13.aes.128	13.aes.128	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.128
SAMN13502306	Successfully loaded	13.aes.129	13.aes.129	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.129
SAMN13502307	Successfully loaded	13.aes.130	13.aes.130	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.130
SAMN13502308	Successfully loaded	13.aes.131	13.aes.131	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.131
SAMN13502309	Successfully loaded	13.aes.132	13.aes.132	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.132
SAMN13502310	Successfully loaded	13.aes.133	13.aes.133	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.133
SAMN13502311	Successfully loaded	13.aes.134	13.aes.134	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.134
SAMN13502312	Successfully loaded	13.aes.135	13.aes.135	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.135
SAMN13502313	Successfully loaded	13.aes.137	13.aes.137	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.137
SAMN13502314	Successfully loaded	13.aes.145	13.aes.145	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.145
SAMN13502315	Successfully loaded	13.aes.146	13.aes.146	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.146
SAMN13502316	Successfully loaded	13.aes.15	13.aes.15	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.15
SAMN13502317	Successfully loaded	13.aes.155	13.aes.155	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.155
SAMN13502318	Successfully loaded	13.aes.16	13.aes.16	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.16
SAMN13502319	Successfully loaded	13.aes.165	13.aes.165	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.165
SAMN13502320	Successfully loaded	13.aes.166	13.aes.166	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.166
SAMN13502321	Successfully loaded	13.aes.167	13.aes.167	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.167
SAMN13502322	Successfully loaded	13.aes.168	13.aes.168	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.168
SAMN13502323	Successfully loaded	13.aes.17	13.aes.17	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.17
SAMN13502324	Successfully loaded	13.aes.170	13.aes.170	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.170
SAMN13502325	Successfully loaded	13.aes.171	13.aes.171	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.171
SAMN13502326	Successfully loaded	13.aes.172	13.aes.172	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.172
SAMN13502327	Successfully loaded	13.aes.18	13.aes.18	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.18
SAMN13502328	Successfully loaded	13.aes.181	13.aes.181	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.181
SAMN13502329	Successfully loaded	13.aes.182	13.aes.182	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.182
SAMN13502330	Successfully loaded	13.aes.183	13.aes.183	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.183
SAMN13502331	Successfully loaded	13.aes.184	13.aes.184	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.184
SAMN13502332	Successfully loaded	13.aes.185	13.aes.185	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.185
SAMN13502333	Successfully loaded	13.aes.187	13.aes.187	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.187
SAMN13502334	Successfully loaded	13.aes.188	13.aes.188	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.188
SAMN13502335	Successfully loaded	13.aes.20	13.aes.20	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.20
SAMN13502336	Successfully loaded	13.aes.21	13.aes.21	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.21
SAMN13502337	Successfully loaded	13.aes.22	13.aes.22	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.22
SAMN13502338	Successfully loaded	13.aes.23	13.aes.23	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.23
SAMN13502339	Successfully loaded	13.aes.25	13.aes.25	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.25
SAMN13502340	Successfully loaded	13.aes.26	13.aes.26	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.26
SAMN13502341	Successfully loaded	13.aes.27	13.aes.27	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.27
SAMN13502342	Successfully loaded	13.aes.28	13.aes.28	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.28
